Navn,Year,Month,Day,Felt,Trafikkmengde,Sykkel
Hansine Hansens veg,2021,8,25,1,1393,0
Hansine Hansens veg,2021,8,25,2,2066,0
Hansine Hansens veg,2021,8,25,Totalt,3459,0
Hansine Hansens veg,2021,8,26,1,2371,0
Hansine Hansens veg,2021,8,26,2,2389,0
Hansine Hansens veg,2021,8,26,Totalt,4760,0
Hansine Hansens veg,2021,8,27,1,2187,0
Hansine Hansens veg,2021,8,27,2,2229,0
Hansine Hansens veg,2021,8,27,Totalt,4416,0
Hansine Hansens veg,2021,8,28,1,557,0
Hansine Hansens veg,2021,8,28,2,517,0
Hansine Hansens veg,2021,8,28,Totalt,1074,0
Hansine Hansens veg,2021,8,29,1,535,0
Hansine Hansens veg,2021,8,29,2,536,0
Hansine Hansens veg,2021,8,29,Totalt,1071,0
Hansine Hansens veg,2021,8,30,1,2481,0
Hansine Hansens veg,2021,8,30,2,2386,0
Hansine Hansens veg,2021,8,30,Totalt,4867,0
Hansine Hansens veg,2021,8,31,1,2467,0
Hansine Hansens veg,2021,8,31,2,2526,0
Hansine Hansens veg,2021,8,31,Totalt,4993,0
Hansine Hansens veg,2021,9,1,1,2557,0
Hansine Hansens veg,2021,9,1,2,2587,0
Hansine Hansens veg,2021,9,1,Totalt,5144,0
Hansine Hansens veg,2021,9,2,1,2394,0
Hansine Hansens veg,2021,9,2,2,2396,0
Hansine Hansens veg,2021,9,2,Totalt,4790,0
Hansine Hansens veg,2021,9,3,1,2239,0
Hansine Hansens veg,2021,9,3,2,2244,0
Hansine Hansens veg,2021,9,3,Totalt,4483,0
Hansine Hansens veg,2021,9,4,1,602,0
Hansine Hansens veg,2021,9,4,2,591,0
Hansine Hansens veg,2021,9,4,Totalt,1193,0
Hansine Hansens veg,2021,9,5,1,591,0
Hansine Hansens veg,2021,9,5,2,569,0
Hansine Hansens veg,2021,9,5,Totalt,1160,0
Hansine Hansens veg,2021,9,6,1,2350,0
Hansine Hansens veg,2021,9,6,2,2443,0
Hansine Hansens veg,2021,9,6,Totalt,4793,0
Hansine Hansens veg,2021,9,7,1,2426,0
Hansine Hansens veg,2021,9,7,2,2520,0
Hansine Hansens veg,2021,9,7,Totalt,4946,0
Hansine Hansens veg,2021,9,8,1,2428,0
Hansine Hansens veg,2021,9,8,2,2480,0
Hansine Hansens veg,2021,9,8,Totalt,4908,0
Hansine Hansens veg,2021,9,9,1,2406,0
Hansine Hansens veg,2021,9,9,2,2478,0
Hansine Hansens veg,2021,9,9,Totalt,4884,0
Hansine Hansens veg,2021,9,10,1,2241,0
